Reference,Qty,MPN,Manufacturer,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C3",2,,,4.7u,,,,pico2parts:C_0402_1005Metric_small_pads,
"C2,C19,C21",3,,,10u,,,,Capacitor_SMD:C_0805_2012Metric,
"C5,C20",2,,,4.7u,,,,Capacitor_SMD:C_0402_1005Metric,
"C6,C24",2,,,4u7,,,,Capacitor_SMD:C_0402_1005Metric,
"C8,C9,C10,C11,C12,C13,C14,C17,C18,C22,C23",11,,,100n,,,,Capacitor_SMD:C_0402_1005Metric,
"C15,C16",2,,,15p,,,,Capacitor_SMD:C_0402_1005Metric,
J3,1,1.0-3P WT,SHOU HAN,Conn_01x03_Socket,,,,Connector_JST:JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,
J4,1,1.0-4P WT,SHOU HAN,Conn_01x04_Socket,,,,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
L1,1,,,3.3u,,,,pico2parts:IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,
P1,1,TYPE-C-31-G-10,Korean Hroparts Elec,,,,,pico2parts:USB-C-SMD_TYPE-C-31-G-10,
"Q1,Q2",2,EM6K6T2R,ROHM,EM6K6,,,,Package_TO_SOT_SMD:SOT-563,http://www.gneic.com/product/datasheet/FDG6335N-1122853.pdf
R1,1,,,33,,,,Resistor_SMD:R_0402_1005Metric,
"R2,R3",2,,,27,,,,Resistor_SMD:R_0402_1005Metric,
R4,1,,,5.1k,,,,Resistor_SMD:R_0402_1005Metric,
"R5,R7,R12",3,,,5K1,,,,Resistor_SMD:R_0402_1005Metric,
R8,1,,,1k,,,,Resistor_SMD:R_0402_1005Metric,
"R11,R13,R14",3,,,51K,,,,Resistor_SMD:R_0402_1005Metric,
R15,1,,,1K,,,,Resistor_SMD:R_0402_1005Metric,
SW1,1,TS24CA,,SW_Push,,,,pico2parts:BUTTON-SW-SMD_2P-TS24CA,
"TP1,TP2,TP3,TP4",4,,,TestPoint,DNP,,,TestPoint:TestPoint_Pad_D1.0mm,
U2,1,RP2354A,Raspberry Pi,RP2354A,,,,pico2parts:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf
U4,1,AP2127K-3.3TRG1,Diodes,AP2127K-3.3,,,,Package_TO_SOT_SMD:SOT-23-5,https://www.diodes.com/assets/Datasheets/AP2127.pdf
Y1,1,ABM8-272-T3,ABRACON,ABM8-272-T3,,,,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,
